RBP,Cell & tissue typeHepG2K562adrenal gland,RBS location,Score,PhastCons score,PhyloP score,Transcript ID,Data accession,Overexpression Info
UPF1,K562,chr7:129832352-129832449;-,77.786,0.003,-0.09,ENST00000355621,ENCODE,No
HNRNPL,K562,chr7:129934835-129934931;-,9.909,0.01,-0.14,ENST00000480245,ENCODE,No
HNRNPL,K562,chr7:129934835-129934931;-,9.909,0.01,-0.14,ENST00000490974,ENCODE,No
HNRNPL,K562,chr7:129934835-129934931;-,9.909,0.01,-0.14,ENST00000496698,ENCODE,No
SUGP2,HepG2,chr7:129904999-129905040;-,9.84,0.154,0.117,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129904999-129905040;-,9.84,0.154,0.117,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129904999-129905040;-,9.84,0.154,0.117,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129904999-129905040;-,9.84,0.154,0.117,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129904999-129905040;-,9.84,0.154,0.117,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129904999-129905040;-,9.84,0.154,0.117,ENST00000496698,ENCODE,No
MATR3,HepG2,chr7:129904855-129904926;-,9.834,0.007,-0.074,ENST00000355621,ENCODE,No
MATR3,HepG2,chr7:129904855-129904926;-,9.834,0.007,-0.074,ENST00000472396,ENCODE,No
MATR3,HepG2,chr7:129904855-129904926;-,9.834,0.007,-0.074,ENST00000473814,ENCODE,No
MATR3,HepG2,chr7:129904855-129904926;-,9.834,0.007,-0.074,ENST00000480245,ENCODE,No
MATR3,HepG2,chr7:129904855-129904926;-,9.834,0.007,-0.074,ENST00000490974,ENCODE,No
MATR3,HepG2,chr7:129904855-129904926;-,9.834,0.007,-0.074,ENST00000496698,ENCODE,No
UCHL5,K562,chr7:129952746-129952893;-,9.722,0.459,0.747,ENST00000472396,ENCODE,No
UCHL5,K562,chr7:129952746-129952893;-,9.722,0.459,0.747,ENST00000355621,ENCODE,No
DDX3X,HepG2,chr7:129952758-129952877;-,9.666,0.379,0.633,ENST00000472396,ENCODE,No
DDX3X,HepG2,chr7:129952758-129952877;-,9.666,0.379,0.633,ENST00000355621,ENCODE,No
KHSRP,K562,chr7:129854742-129854825;-,9.642,0.002,0.058,ENST00000355621,ENCODE,No
KHSRP,K562,chr7:129854742-129854825;-,9.642,0.002,0.058,ENST00000472396,ENCODE,No
KHSRP,K562,chr7:129854742-129854825;-,9.642,0.002,0.058,ENST00000473814,ENCODE,No
KHSRP,K562,chr7:129854742-129854825;-,9.642,0.002,0.058,ENST00000480245,ENCODE,No
KHSRP,K562,chr7:129854742-129854825;-,9.642,0.002,0.058,ENST00000496698,ENCODE,No
SUGP2,HepG2,chr7:129905742-129905775;-,9.453,0.021,0.135,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129905742-129905775;-,9.453,0.021,0.135,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129905742-129905775;-,9.453,0.021,0.135,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129905742-129905775;-,9.453,0.021,0.135,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129905742-129905775;-,9.453,0.021,0.135,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129905742-129905775;-,9.453,0.021,0.135,ENST00000496698,ENCODE,No
SUGP2,HepG2,chr7:129905920-129905964;-,9.453,0.001,-0.378,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129905920-129905964;-,9.453,0.001,-0.378,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129905920-129905964;-,9.453,0.001,-0.378,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129905920-129905964;-,9.453,0.001,-0.378,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129905920-129905964;-,9.453,0.001,-0.378,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129905920-129905964;-,9.453,0.001,-0.378,ENST00000496698,ENCODE,No
PTBP1,HepG2,chr7:129874720-129874784;-,9.444,0.152,0.321,ENST00000355621,ENCODE,No
PTBP1,HepG2,chr7:129874720-129874784;-,9.444,0.152,0.321,ENST00000472396,ENCODE,No
PTBP1,HepG2,chr7:129874720-129874784;-,9.444,0.152,0.321,ENST00000473814,ENCODE,No
PTBP1,HepG2,chr7:129874720-129874784;-,9.444,0.152,0.321,ENST00000480245,ENCODE,No
PTBP1,HepG2,chr7:129874720-129874784;-,9.444,0.152,0.321,ENST00000486283,ENCODE,No
PTBP1,HepG2,chr7:129874720-129874784;-,9.444,0.152,0.321,ENST00000490974,ENCODE,No
PTBP1,HepG2,chr7:129874720-129874784;-,9.444,0.152,0.321,ENST00000496698,ENCODE,No
DDX3X,HepG2,chr7:129952593-129952691;-,9.417,0.582,0.932,ENST00000490974,ENCODE,No
DDX3X,HepG2,chr7:129952593-129952691;-,9.417,0.582,0.932,ENST00000472396,ENCODE,No
DDX3X,HepG2,chr7:129952593-129952691;-,9.417,0.582,0.932,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129905365-129905426;-,9.328,0.021,0.188,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129905365-129905426;-,9.328,0.021,0.188,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129905365-129905426;-,9.328,0.021,0.188,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129905365-129905426;-,9.328,0.021,0.188,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129905365-129905426;-,9.328,0.021,0.188,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129905365-129905426;-,9.328,0.021,0.188,ENST00000496698,ENCODE,No
HNRNPM,K562,chr7:129949590-129949645;-,9.235,0.887,1.658,ENST00000355621,ENCODE,No
HNRNPM,K562,chr7:129949590-129949645;-,9.235,0.887,1.658,ENST00000472396,ENCODE,No
HNRNPM,K562,chr7:129949590-129949645;-,9.235,0.887,1.658,ENST00000473814,ENCODE,No
HNRNPM,K562,chr7:129949590-129949645;-,9.235,0.887,1.658,ENST00000480245,ENCODE,No
HNRNPM,K562,chr7:129949590-129949645;-,9.235,0.887,1.658,ENST00000490974,ENCODE,No
HNRNPM,K562,chr7:129949590-129949645;-,9.235,0.887,1.658,ENST00000496698,ENCODE,No
PTBP1,K562,chr7:129850841-129850904;-,9.21,0.002,-0.426,ENST00000355621,ENCODE,No
PTBP1,K562,chr7:129850841-129850904;-,9.21,0.002,-0.426,ENST00000472396,ENCODE,No
PTBP1,K562,chr7:129850841-129850904;-,9.21,0.002,-0.426,ENST00000473814,ENCODE,No
PTBP1,K562,chr7:129850841-129850904;-,9.21,0.002,-0.426,ENST00000480245,ENCODE,No
PTBP1,K562,chr7:129850841-129850904;-,9.21,0.002,-0.426,ENST00000496698,ENCODE,No
FUBP3,HepG2,chr7:129833966-129834044;-,9.051,0.221,0.444,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129907159-129907254;-,9.02,0.045,0.172,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129907159-129907254;-,9.02,0.045,0.172,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129907159-129907254;-,9.02,0.045,0.172,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129907159-129907254;-,9.02,0.045,0.172,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129907159-129907254;-,9.02,0.045,0.172,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129907159-129907254;-,9.02,0.045,0.172,ENST00000496698,ENCODE,No
SUGP2,HepG2,chr7:129904720-129904764;-,8.943,0.007,-0.177,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129904720-129904764;-,8.943,0.007,-0.177,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129904720-129904764;-,8.943,0.007,-0.177,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129904720-129904764;-,8.943,0.007,-0.177,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129904720-129904764;-,8.943,0.007,-0.177,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129904720-129904764;-,8.943,0.007,-0.177,ENST00000496698,ENCODE,No
SUGP2,HepG2,chr7:129905098-129905143;-,8.866,0.015,-0.043,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129905098-129905143;-,8.866,0.015,-0.043,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129905098-129905143;-,8.866,0.015,-0.043,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129905098-129905143;-,8.866,0.015,-0.043,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129905098-129905143;-,8.866,0.015,-0.043,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129905098-129905143;-,8.866,0.015,-0.043,ENST00000496698,ENCODE,No
SF3B1,K562,chr7:129832829-129832837;-,8.802,1,4.367,ENST00000355621,ENCODE,No
SF3B1,K562,chr7:129938013-129938021;-,8.763,0.007,0.368,ENST00000355621,ENCODE,No
SF3B1,K562,chr7:129938013-129938021;-,8.763,0.007,0.368,ENST00000472396,ENCODE,No
SF3B1,K562,chr7:129938013-129938021;-,8.763,0.007,0.368,ENST00000473814,ENCODE,No
SF3B1,K562,chr7:129938013-129938021;-,8.763,0.007,0.368,ENST00000480245,ENCODE,No
SF3B1,K562,chr7:129938013-129938021;-,8.763,0.007,0.368,ENST00000490974,ENCODE,No
SF3B1,K562,chr7:129938013-129938021;-,8.763,0.007,0.368,ENST00000496698,ENCODE,No
SUGP2,HepG2,chr7:129905494-129905539;-,8.678,0.008,0.37,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129905494-129905539;-,8.678,0.008,0.37,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129905494-129905539;-,8.678,0.008,0.37,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129905494-129905539;-,8.678,0.008,0.37,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129905494-129905539;-,8.678,0.008,0.37,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129905494-129905539;-,8.678,0.008,0.37,ENST00000496698,ENCODE,No
UTP3,K562,chr7:129859764-129859773;-,8.662,0.007,-0.23,ENST00000355621,ENCODE,No
UTP3,K562,chr7:129859764-129859773;-,8.662,0.007,-0.23,ENST00000472396,ENCODE,No
UTP3,K562,chr7:129859764-129859773;-,8.662,0.007,-0.23,ENST00000473814,ENCODE,No
UTP3,K562,chr7:129859764-129859773;-,8.662,0.007,-0.23,ENST00000480245,ENCODE,No
UTP3,K562,chr7:129859764-129859773;-,8.662,0.007,-0.23,ENST00000486283,ENCODE,No
UTP3,K562,chr7:129859764-129859773;-,8.662,0.007,-0.23,ENST00000490974,ENCODE,No
UTP3,K562,chr7:129859764-129859773;-,8.662,0.007,-0.23,ENST00000496698,ENCODE,No
UTP3,K562,chr7:129859773-129859805;-,8.662,0.007,-0.083,ENST00000355621,ENCODE,No
UTP3,K562,chr7:129859773-129859805;-,8.662,0.007,-0.083,ENST00000472396,ENCODE,No
UTP3,K562,chr7:129859773-129859805;-,8.662,0.007,-0.083,ENST00000473814,ENCODE,No
UTP3,K562,chr7:129859773-129859805;-,8.662,0.007,-0.083,ENST00000480245,ENCODE,No
UTP3,K562,chr7:129859773-129859805;-,8.662,0.007,-0.083,ENST00000486283,ENCODE,No
UTP3,K562,chr7:129859773-129859805;-,8.662,0.007,-0.083,ENST00000490974,ENCODE,No
UTP3,K562,chr7:129859773-129859805;-,8.662,0.007,-0.083,ENST00000496698,ENCODE,No
UTP3,K562,chr7:129834464-129834471;-,8.634,0,-0.454,ENST00000355621,ENCODE,No
HNRNPM,HepG2,chr7:129940703-129940785;-,8.507,0.01,0.034,ENST00000355621,ENCODE,No
HNRNPM,HepG2,chr7:129940703-129940785;-,8.507,0.01,0.034,ENST00000472396,ENCODE,No
HNRNPM,HepG2,chr7:129940703-129940785;-,8.507,0.01,0.034,ENST00000473814,ENCODE,No
HNRNPM,HepG2,chr7:129940703-129940785;-,8.507,0.01,0.034,ENST00000480245,ENCODE,No
HNRNPM,HepG2,chr7:129940703-129940785;-,8.507,0.01,0.034,ENST00000490974,ENCODE,No
HNRNPM,HepG2,chr7:129940703-129940785;-,8.507,0.01,0.034,ENST00000496698,ENCODE,No
SUGP2,HepG2,chr7:129906747-129906801;-,8.47,0.718,0.952,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129906747-129906801;-,8.47,0.718,0.952,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129906747-129906801;-,8.47,0.718,0.952,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129906747-129906801;-,8.47,0.718,0.952,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129906747-129906801;-,8.47,0.718,0.952,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129906747-129906801;-,8.47,0.718,0.952,ENST00000496698,ENCODE,No
SF3B1,K562,chr7:129938021-129938049;-,8.41,0.001,-0.033,ENST00000355621,ENCODE,No
SF3B1,K562,chr7:129938021-129938049;-,8.41,0.001,-0.033,ENST00000472396,ENCODE,No
SF3B1,K562,chr7:129938021-129938049;-,8.41,0.001,-0.033,ENST00000473814,ENCODE,No
SF3B1,K562,chr7:129938021-129938049;-,8.41,0.001,-0.033,ENST00000480245,ENCODE,No
SF3B1,K562,chr7:129938021-129938049;-,8.41,0.001,-0.033,ENST00000490974,ENCODE,No
SF3B1,K562,chr7:129938021-129938049;-,8.41,0.001,-0.033,ENST00000496698,ENCODE,No
GEMIN5,K562,chr7:129952801-129952903;-,8.326,0.556,0.802,ENST00000472396,ENCODE,No
GEMIN5,K562,chr7:129952801-129952903;-,8.326,0.556,0.802,ENST00000355621,ENCODE,No
AATF,K562,chr7:129944642-129944743;-,8.249,0.025,-0.107,ENST00000355621,ENCODE,No
AATF,K562,chr7:129944642-129944743;-,8.249,0.025,-0.107,ENST00000472396,ENCODE,No
AATF,K562,chr7:129944642-129944743;-,8.249,0.025,-0.107,ENST00000473814,ENCODE,No
AATF,K562,chr7:129944642-129944743;-,8.249,0.025,-0.107,ENST00000480245,ENCODE,No
AATF,K562,chr7:129944642-129944743;-,8.249,0.025,-0.107,ENST00000490974,ENCODE,No
AATF,K562,chr7:129944642-129944743;-,8.249,0.025,-0.107,ENST00000496698,ENCODE,No
HNRNPC,HepG2,chr7:129850294-129850360;-,8.23,0.009,-0.084,ENST00000355621,ENCODE,No
HNRNPC,HepG2,chr7:129850294-129850360;-,8.23,0.009,-0.084,ENST00000472396,ENCODE,No
HNRNPC,HepG2,chr7:129850294-129850360;-,8.23,0.009,-0.084,ENST00000473814,ENCODE,No
HNRNPC,HepG2,chr7:129850294-129850360;-,8.23,0.009,-0.084,ENST00000480245,ENCODE,No
HNRNPC,HepG2,chr7:129850294-129850360;-,8.23,0.009,-0.084,ENST00000496698,ENCODE,No
FAM120A,K562,chr7:129833918-129833985;-,8.22,0.134,0.545,ENST00000355621,ENCODE,No
EIF4G2,K562,chr7:129944643-129944759;-,8.218,0.023,-0.112,ENST00000355621,ENCODE,No
EIF4G2,K562,chr7:129944643-129944759;-,8.218,0.023,-0.112,ENST00000472396,ENCODE,No
EIF4G2,K562,chr7:129944643-129944759;-,8.218,0.023,-0.112,ENST00000473814,ENCODE,No
EIF4G2,K562,chr7:129944643-129944759;-,8.218,0.023,-0.112,ENST00000480245,ENCODE,No
EIF4G2,K562,chr7:129944643-129944759;-,8.218,0.023,-0.112,ENST00000490974,ENCODE,No
EIF4G2,K562,chr7:129944643-129944759;-,8.218,0.023,-0.112,ENST00000496698,ENCODE,No
YBX3,K562,chr7:129831754-129831822;-,8.198,0.028,-0.166,ENST00000355621,ENCODE,No
AQR,K562,chr7:129879873-129879995;-,8.145,0.006,-0.147,ENST00000355621,ENCODE,No
AQR,K562,chr7:129879873-129879995;-,8.145,0.006,-0.147,ENST00000472396,ENCODE,No
AQR,K562,chr7:129879873-129879995;-,8.145,0.006,-0.147,ENST00000473814,ENCODE,No
AQR,K562,chr7:129879873-129879995;-,8.145,0.006,-0.147,ENST00000480245,ENCODE,No
AQR,K562,chr7:129879873-129879995;-,8.145,0.006,-0.147,ENST00000486283,ENCODE,No
AQR,K562,chr7:129879873-129879995;-,8.145,0.006,-0.147,ENST00000490974,ENCODE,No
AQR,K562,chr7:129879873-129879995;-,8.145,0.006,-0.147,ENST00000496698,ENCODE,No
SUGP2,HepG2,chr7:129904738-129904771;-,8.064,0.001,-0.178,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129904738-129904771;-,8.064,0.001,-0.178,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129904738-129904771;-,8.064,0.001,-0.178,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129904738-129904771;-,8.064,0.001,-0.178,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129904738-129904771;-,8.064,0.001,-0.178,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129904738-129904771;-,8.064,0.001,-0.178,ENST00000496698,ENCODE,No
SF3B1,K562,chr7:129832837-129832871;-,8.004,0.969,2.994,ENST00000355621,ENCODE,No
MATR3,HepG2,chr7:129904717-129904779;-,7.987,0.124,0.059,ENST00000355621,ENCODE,No
MATR3,HepG2,chr7:129904717-129904779;-,7.987,0.124,0.059,ENST00000472396,ENCODE,No
MATR3,HepG2,chr7:129904717-129904779;-,7.987,0.124,0.059,ENST00000473814,ENCODE,No
MATR3,HepG2,chr7:129904717-129904779;-,7.987,0.124,0.059,ENST00000480245,ENCODE,No
MATR3,HepG2,chr7:129904717-129904779;-,7.987,0.124,0.059,ENST00000490974,ENCODE,No
MATR3,HepG2,chr7:129904717-129904779;-,7.987,0.124,0.059,ENST00000496698,ENCODE,No
SUGP2,HepG2,chr7:129904639-129904685;-,7.979,0.034,-0.066,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129904639-129904685;-,7.979,0.034,-0.066,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129904639-129904685;-,7.979,0.034,-0.066,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129904639-129904685;-,7.979,0.034,-0.066,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129904639-129904685;-,7.979,0.034,-0.066,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129904639-129904685;-,7.979,0.034,-0.066,ENST00000496698,ENCODE,No
SUGP2,HepG2,chr7:129905062-129905084;-,7.962,0.019,0.169,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129905062-129905084;-,7.962,0.019,0.169,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129905062-129905084;-,7.962,0.019,0.169,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129905062-129905084;-,7.962,0.019,0.169,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129905062-129905084;-,7.962,0.019,0.169,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129905062-129905084;-,7.962,0.019,0.169,ENST00000496698,ENCODE,No
SUGP2,HepG2,chr7:129906602-129906645;-,7.956,0.004,0.156,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129906602-129906645;-,7.956,0.004,0.156,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129906602-129906645;-,7.956,0.004,0.156,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129906602-129906645;-,7.956,0.004,0.156,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129906602-129906645;-,7.956,0.004,0.156,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129906602-129906645;-,7.956,0.004,0.156,ENST00000496698,ENCODE,No
HNRNPM,HepG2,chr7:129949316-129949354;-,7.951,0.05,0.296,ENST00000355621,ENCODE,No
HNRNPM,HepG2,chr7:129949316-129949354;-,7.951,0.05,0.296,ENST00000472396,ENCODE,No
HNRNPM,HepG2,chr7:129949316-129949354;-,7.951,0.05,0.296,ENST00000473814,ENCODE,No
HNRNPM,HepG2,chr7:129949316-129949354;-,7.951,0.05,0.296,ENST00000480245,ENCODE,No
HNRNPM,HepG2,chr7:129949316-129949354;-,7.951,0.05,0.296,ENST00000490974,ENCODE,No
HNRNPM,HepG2,chr7:129949316-129949354;-,7.951,0.05,0.296,ENST00000496698,ENCODE,No
HNRNPM,HepG2,chr7:129950106-129950154;-,7.951,0.586,1.063,ENST00000355621,ENCODE,No
HNRNPM,HepG2,chr7:129950106-129950154;-,7.951,0.586,1.063,ENST00000472396,ENCODE,No
HNRNPM,HepG2,chr7:129950106-129950154;-,7.951,0.586,1.063,ENST00000473814,ENCODE,No
HNRNPM,HepG2,chr7:129950106-129950154;-,7.951,0.586,1.063,ENST00000480245,ENCODE,No
HNRNPM,HepG2,chr7:129950106-129950154;-,7.951,0.586,1.063,ENST00000490974,ENCODE,No
HNRNPM,HepG2,chr7:129950106-129950154;-,7.951,0.586,1.063,ENST00000496698,ENCODE,No
RBFOX2,HepG2,chr7:129832253-129832325;-,7.833,0.006,0.205,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129906903-129906972;-,7.819,0.348,0.568,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129906903-129906972;-,7.819,0.348,0.568,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129906903-129906972;-,7.819,0.348,0.568,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129906903-129906972;-,7.819,0.348,0.568,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129906903-129906972;-,7.819,0.348,0.568,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129906903-129906972;-,7.819,0.348,0.568,ENST00000496698,ENCODE,No
TIA1,K562,chr7:129833793-129833848;-,7.806,0.617,0.986,ENST00000355621,ENCODE,No
DDX6,K562,chr7:129833930-129834037;-,7.799,0.18,0.521,ENST00000355621,ENCODE,No
YBX3,K562,chr7:129834662-129834768;-,7.769,0.988,3.671,ENST00000355621,ENCODE,No
DDX3X,HepG2,chr7:129952691-129952775;-,7.752,0.852,1.486,ENST00000472396,ENCODE,No
DDX3X,HepG2,chr7:129952691-129952775;-,7.752,0.852,1.486,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129907329-129907387;-,7.736,0.05,0.142,ENST00000355621,ENCODE,No
SUGP2,HepG2,chr7:129907329-129907387;-,7.736,0.05,0.142,ENST00000472396,ENCODE,No
SUGP2,HepG2,chr7:129907329-129907387;-,7.736,0.05,0.142,ENST00000473814,ENCODE,No
SUGP2,HepG2,chr7:129907329-129907387;-,7.736,0.05,0.142,ENST00000480245,ENCODE,No
SUGP2,HepG2,chr7:129907329-129907387;-,7.736,0.05,0.142,ENST00000490974,ENCODE,No
SUGP2,HepG2,chr7:129907329-129907387;-,7.736,0.05,0.142,ENST00000496698,ENCODE,No
UTP3,K562,chr7:129834471-129834495;-,7.684,0.001,0.074,ENST00000355621,ENCODE,No
PTBP1,HepG2,chr7:129874784-129874853;-,7.673,0.084,-0.13,ENST00000355621,ENCODE,No
PTBP1,HepG2,chr7:129874784-129874853;-,7.673,0.084,-0.13,ENST00000472396,ENCODE,No
PTBP1,HepG2,chr7:129874784-129874853;-,7.673,0.084,-0.13,ENST00000473814,ENCODE,No
PTBP1,HepG2,chr7:129874784-129874853;-,7.673,0.084,-0.13,ENST00000480245,ENCODE,No
PTBP1,HepG2,chr7:129874784-129874853;-,7.673,0.084,-0.13,ENST00000486283,ENCODE,No
PTBP1,HepG2,chr7:129874784-129874853;-,7.673,0.084,-0.13,ENST00000490974,ENCODE,No
PTBP1,HepG2,chr7:129874784-129874853;-,7.673,0.084,-0.13,ENST00000496698,ENCODE,No
UTP3,K562,chr7:129873656-129873664;-,7.624,0.013,-0.043,ENST00000355621,ENCODE,No
UTP3,K562,chr7:129873656-129873664;-,7.624,0.013,-0.043,ENST00000472396,ENCODE,No
UTP3,K562,chr7:129873656-129873664;-,7.624,0.013,-0.043,ENST00000473814,ENCODE,No
UTP3,K562,chr7:129873656-129873664;-,7.624,0.013,-0.043,ENST00000480245,ENCODE,No
UTP3,K562,chr7:129873656-129873664;-,7.624,0.013,-0.043,ENST00000486283,ENCODE,No
UTP3,K562,chr7:129873656-129873664;-,7.624,0.013,-0.043,ENST00000490974,ENCODE,No
UTP3,K562,chr7:129873656-129873664;-,7.624,0.013,-0.043,ENST00000496698,ENCODE,No
MATR3,HepG2,chr7:129906058-129906166;-,7.616,0.071,0.136,ENST00000355621,ENCODE,No
MATR3,HepG2,chr7:129906058-129906166;-,7.616,0.071,0.136,ENST00000472396,ENCODE,No
MATR3,HepG2,chr7:129906058-129906166;-,7.616,0.071,0.136,ENST00000473814,ENCODE,No
MATR3,HepG2,chr7:129906058-129906166;-,7.616,0.071,0.136,ENST00000480245,ENCODE,No
MATR3,HepG2,chr7:129906058-129906166;-,7.616,0.071,0.136,ENST00000490974,ENCODE,No
MATR3,HepG2,chr7:129906058-129906166;-,7.616,0.071,0.136,ENST00000496698,ENCODE,No
UPF1,HepG2,chr7:129834456-129834515;-,7.613,0.13,0.151,ENST00000355621,ENCODE,No
PTBP1,K562,chr7:129874719-129874850;-,7.547,0.109,0.068,ENST00000355621,ENCODE,No
PTBP1,K562,chr7:129874719-129874850;-,7.547,0.109,0.068,ENST00000472396,ENCODE,No
PTBP1,K562,chr7:129874719-129874850;-,7.547,0.109,0.068,ENST00000473814,ENCODE,No
PTBP1,K562,chr7:129874719-129874850;-,7.547,0.109,0.068,ENST00000480245,ENCODE,No
PTBP1,K562,chr7:129874719-129874850;-,7.547,0.109,0.068,ENST00000486283,ENCODE,No
PTBP1,K562,chr7:129874719-129874850;-,7.547,0.109,0.068,ENST00000490974,ENCODE,No
PTBP1,K562,chr7:129874719-129874850;-,7.547,0.109,0.068,ENST00000496698,ENCODE,No
HNRNPM,HepG2,chr7:129945342-129945414;-,7.544,0.019,0.055,ENST00000355621,ENCODE,No
HNRNPM,HepG2,chr7:129945342-129945414;-,7.544,0.019,0.055,ENST00000472396,ENCODE,No
HNRNPM,HepG2,chr7:129945342-129945414;-,7.544,0.019,0.055,ENST00000473814,ENCODE,No
HNRNPM,HepG2,chr7:129945342-129945414;-,7.544,0.019,0.055,ENST00000480245,ENCODE,No
HNRNPM,HepG2,chr7:129945342-129945414;-,7.544,0.019,0.055,ENST00000490974,ENCODE,No
HNRNPM,HepG2,chr7:129945342-129945414;-,7.544,0.019,0.055,ENST00000496698,ENCODE,No
MATR3,HepG2,chr7:129905569-129905614;-,7.524,0.04,0.05,ENST00000355621,ENCODE,No
MATR3,HepG2,chr7:129905569-129905614;-,7.524,0.04,0.05,ENST00000472396,ENCODE,No
MATR3,HepG2,chr7:129905569-129905614;-,7.524,0.04,0.05,ENST00000473814,ENCODE,No
MATR3,HepG2,chr7:129905569-129905614;-,7.524,0.04,0.05,ENST00000480245,ENCODE,No
MATR3,HepG2,chr7:129905569-129905614;-,7.524,0.04,0.05,ENST00000490974,ENCODE,No
MATR3,HepG2,chr7:129905569-129905614;-,7.524,0.04,0.05,ENST00000496698,ENCODE,No
ILF3,HepG2,chr7:129943010-129943096;-,7.498,0.088,0.091,ENST00000355621,ENCODE,No
ILF3,HepG2,chr7:129943010-129943096;-,7.498,0.088,0.091,ENST00000472396,ENCODE,No
ILF3,HepG2,chr7:129943010-129943096;-,7.498,0.088,0.091,ENST00000473814,ENCODE,No
ILF3,HepG2,chr7:129943010-129943096;-,7.498,0.088,0.091,ENST00000480245,ENCODE,No
ILF3,HepG2,chr7:129943010-129943096;-,7.498,0.088,0.091,ENST00000490974,ENCODE,No
ILF3,HepG2,chr7:129943010-129943096;-,7.498,0.088,0.091,ENST00000496698,ENCODE,No
