RBP,Cell & tissue typeHepG2K562adrenal gland,RBS location,Score,PhastCons score,PhyloP score,Transcript ID,Data accession,Overexpression Info
PUM2,K562,chr5:134390526-134390638;+,400,1,5.151,ENST00000265339,ENCODE,No
DROSHA,K562,chr5:134371729-134371754;+,3.675,0.41,0.591,ENST00000504431,ENCODE,No
DROSHA,K562,chr5:134371729-134371754;+,3.675,0.41,0.591,ENST00000506787,ENCODE,No
DROSHA,K562,chr5:134371729-134371754;+,3.675,0.41,0.591,ENST00000507277,ENCODE,No
DROSHA,K562,chr5:134371729-134371754;+,3.675,0.41,0.591,ENST00000510021,ENCODE,No
DROSHA,K562,chr5:134371729-134371754;+,3.675,0.41,0.591,ENST00000511807,ENCODE,No
NCBP2,HepG2,chr5:134374382-134374454;+,3.638,0.968,6.014,ENST00000265339,ENCODE,No
NCBP2,HepG2,chr5:134374382-134374454;+,3.638,0.968,6.014,ENST00000506787,ENCODE,No
NCBP2,HepG2,chr5:134374382-134374454;+,3.638,0.968,6.014,ENST00000507277,ENCODE,No
NCBP2,HepG2,chr5:134374382-134374454;+,3.638,0.968,6.014,ENST00000510021,ENCODE,No
RBM22,K562,chr5:134388442-134388491;+,3.449,0.018,-0.163,ENST00000265339,ENCODE,No
RBM22,K562,chr5:134388442-134388491;+,3.449,0.018,-0.163,ENST00000499038,ENCODE,No
RBM22,K562,chr5:134388442-134388491;+,3.449,0.018,-0.163,ENST00000503080,ENCODE,No
RBM22,K562,chr5:134388442-134388491;+,3.449,0.018,-0.163,ENST00000506787,ENCODE,No
RBM22,K562,chr5:134388442-134388491;+,3.449,0.018,-0.163,ENST00000507277,ENCODE,No
RBM22,K562,chr5:134388442-134388491;+,3.449,0.018,-0.163,ENST00000510021,ENCODE,No
RBM22,K562,chr5:134388442-134388491;+,3.449,0.018,-0.163,ENST00000511807,ENCODE,No
PCBP1,K562,chr5:134371726-134371775;+,3.443,0.23,0.485,ENST00000265339,ENCODE,No
PCBP1,K562,chr5:134371726-134371775;+,3.443,0.23,0.485,ENST00000504431,ENCODE,No
PCBP1,K562,chr5:134371726-134371775;+,3.443,0.23,0.485,ENST00000506787,ENCODE,No
PCBP1,K562,chr5:134371726-134371775;+,3.443,0.23,0.485,ENST00000507277,ENCODE,No
PCBP1,K562,chr5:134371726-134371775;+,3.443,0.23,0.485,ENST00000510021,ENCODE,No
PCBP1,K562,chr5:134371726-134371775;+,3.443,0.23,0.485,ENST00000511807,ENCODE,No
DDX42,K562,chr5:134372132-134372188;+,3.331,0.599,1.09,ENST00000265339,ENCODE,No
DDX42,K562,chr5:134372132-134372188;+,3.331,0.599,1.09,ENST00000504431,ENCODE,No
DDX42,K562,chr5:134372132-134372188;+,3.331,0.599,1.09,ENST00000506787,ENCODE,No
DDX42,K562,chr5:134372132-134372188;+,3.331,0.599,1.09,ENST00000507277,ENCODE,No
DDX42,K562,chr5:134372132-134372188;+,3.331,0.599,1.09,ENST00000510021,ENCODE,No
DDX42,K562,chr5:134372132-134372188;+,3.331,0.599,1.09,ENST00000511807,ENCODE,No
XRN2,K562,chr5:134371739-134371783;+,3.24,0.159,0.348,ENST00000265339,ENCODE,No
XRN2,K562,chr5:134371739-134371783;+,3.24,0.159,0.348,ENST00000504431,ENCODE,No
XRN2,K562,chr5:134371739-134371783;+,3.24,0.159,0.348,ENST00000506787,ENCODE,No
XRN2,K562,chr5:134371739-134371783;+,3.24,0.159,0.348,ENST00000507277,ENCODE,No
XRN2,K562,chr5:134371739-134371783;+,3.24,0.159,0.348,ENST00000510021,ENCODE,No
XRN2,K562,chr5:134371739-134371783;+,3.24,0.159,0.348,ENST00000511807,ENCODE,No
UTP3,K562,chr5:134380791-134380807;+,3.239,1,6.933,ENST00000265339,ENCODE,No
UTP3,K562,chr5:134380791-134380807;+,3.239,1,6.933,ENST00000506787,ENCODE,No
UTP3,K562,chr5:134380791-134380807;+,3.239,1,6.933,ENST00000507277,ENCODE,No
ILF3,HepG2,chr5:134381549-134381615;+,3.234,0.107,0.218,ENST00000265339,ENCODE,No
ILF3,HepG2,chr5:134381549-134381615;+,3.234,0.107,0.218,ENST00000506787,ENCODE,No
ILF3,HepG2,chr5:134381549-134381615;+,3.234,0.107,0.218,ENST00000507277,ENCODE,No
ILF3,HepG2,chr5:134381549-134381615;+,3.234,0.107,0.218,ENST00000510021,ENCODE,No
ILF3,HepG2,chr5:134381549-134381615;+,3.234,0.107,0.218,ENST00000511807,ENCODE,No
SF3B1,K562,chr5:134388464-134388500;+,3.179,0.008,-0.127,ENST00000265339,ENCODE,No
SF3B1,K562,chr5:134388464-134388500;+,3.179,0.008,-0.127,ENST00000499038,ENCODE,No
SF3B1,K562,chr5:134388464-134388500;+,3.179,0.008,-0.127,ENST00000503080,ENCODE,No
SF3B1,K562,chr5:134388464-134388500;+,3.179,0.008,-0.127,ENST00000506787,ENCODE,No
SF3B1,K562,chr5:134388464-134388500;+,3.179,0.008,-0.127,ENST00000507277,ENCODE,No
SF3B1,K562,chr5:134388464-134388500;+,3.179,0.008,-0.127,ENST00000510021,ENCODE,No
SF3B1,K562,chr5:134388464-134388500;+,3.179,0.008,-0.127,ENST00000511807,ENCODE,No
IGF2BP1,K562,chr5:134390531-134390575;+,3.08,1,6.008,ENST00000265339,ENCODE,No
ILF3,K562,chr5:134382866-134382922;+,3.072,0.014,0.005,ENST00000265339,ENCODE,No
ILF3,K562,chr5:134382866-134382922;+,3.072,0.014,0.005,ENST00000506787,ENCODE,No
ILF3,K562,chr5:134382866-134382922;+,3.072,0.014,0.005,ENST00000507277,ENCODE,No
ILF3,K562,chr5:134382866-134382922;+,3.072,0.014,0.005,ENST00000510021,ENCODE,No
ILF3,K562,chr5:134382866-134382922;+,3.072,0.014,0.005,ENST00000511807,ENCODE,No
SF3B1,K562,chr5:134381585-134381590;+,3.064,0.484,0.682,ENST00000265339,ENCODE,No
SF3B1,K562,chr5:134381585-134381590;+,3.064,0.484,0.682,ENST00000506787,ENCODE,No
SF3B1,K562,chr5:134381585-134381590;+,3.064,0.484,0.682,ENST00000507277,ENCODE,No
SF3B1,K562,chr5:134381585-134381590;+,3.064,0.484,0.682,ENST00000510021,ENCODE,No
SF3B1,K562,chr5:134381585-134381590;+,3.064,0.484,0.682,ENST00000511807,ENCODE,No
SLTM,HepG2,chr5:134380090-134380191;+,3.059,0.091,0.038,ENST00000265339,ENCODE,No
SLTM,HepG2,chr5:134380090-134380191;+,3.059,0.091,0.038,ENST00000506787,ENCODE,No
SLTM,HepG2,chr5:134380090-134380191;+,3.059,0.091,0.038,ENST00000507277,ENCODE,No
SLTM,HepG2,chr5:134380090-134380191;+,3.059,0.091,0.038,ENST00000510021,ENCODE,No
SLTM,HepG2,chr5:134380090-134380191;+,3.059,0.091,0.038,ENST00000511807,ENCODE,No
UTP3,K562,chr5:134380786-134380791;+,3.043,1,6.671,ENST00000265339,ENCODE,No
UTP3,K562,chr5:134380786-134380791;+,3.043,1,6.671,ENST00000506787,ENCODE,No
UTP3,K562,chr5:134380786-134380791;+,3.043,1,6.671,ENST00000507277,ENCODE,No
UTP3,K562,chr5:134388324-134388328;+,3.043,1,6.497,ENST00000510021,ENCODE,No
UTP3,K562,chr5:134388324-134388328;+,3.043,1,6.497,ENST00000265339,ENCODE,No
UTP3,K562,chr5:134388324-134388328;+,3.043,1,6.497,ENST00000506787,ENCODE,No
TIA1,K562,chr5:134390673-134390693;+,3.021,1,4.244,ENST00000265339,ENCODE,No
UTP3,K562,chr5:134381568-134381599;+,3.006,0.189,0.219,ENST00000265339,ENCODE,No
UTP3,K562,chr5:134381568-134381599;+,3.006,0.189,0.219,ENST00000506787,ENCODE,No
UTP3,K562,chr5:134381568-134381599;+,3.006,0.189,0.219,ENST00000507277,ENCODE,No
UTP3,K562,chr5:134381568-134381599;+,3.006,0.189,0.219,ENST00000510021,ENCODE,No
UTP3,K562,chr5:134381568-134381599;+,3.006,0.189,0.219,ENST00000511807,ENCODE,No
